ra,ano,fase,fase_ideal,defasagem,pedra,inde,iaa,ieg,ips,ipp,ida,ipv,ian,nota_mat,nota_por,nota_ing,genero,idade,ano_ingresso,instituicao_ensino,indicado_bolsa,atingiu_pv,num_avaliacoes,defasagem_cat,risco_defasagem
RA-85,2022,5,5,0,Ágata,6.243,6.7,7.3,5.0,,4.3,5.833,10.0,5.0,3.5,,Masculino,15.0,2022,Escola Pública,Não,Não,4.0,Em fase/Avancado,0
RA-86,2022,5,6,-1,Ametista,7.566,7.5,9.6,5.6,,6.7,8.458,5.0,6.2,7.2,6.9,Masculino,16.0,2016,Rede Decisão,Não,Sim,4.0,Moderada,1
RA-87,2022,5,5,0,Topázio,8.712,8.3,9.6,7.5,,8.8,8.5,10.0,8.3,8.0,10.0,Masculino,15.0,2021,Rede Decisão,Não,Sim,4.0,Em fase/Avancado,0
RA-88,2022,5,7,-2,Ametista,7.498,7.1,9.2,5.6,,6.5,9.208,5.0,6.8,6.2,6.4,Masculino,17.0,2021,Escola Pública,Sim,Sim,4.0,Severa,1
RA-89,2022,5,6,-1,Ametista,7.323,9.6,7.8,7.5,,5.9,8.0,5.0,7.5,5.7,4.7,Masculino,16.0,2021,Escola Pública,Sim,Não,4.0,Moderada,1
RA-90,2022,5,3,2,Topázio,9.442,10.0,9.7,9.4,,8.5,9.75,10.0,7.7,8.0,9.8,Feminino,13.0,2019,Rede Decisão,Não,Sim,4.0,Em fase/Avancado,0
RA-91,2022,5,6,-1,Ágata,6.645,9.2,5.7,5.6,,6.6,7.125,5.0,5.5,5.7,8.5,Feminino,16.0,2016,Rede Decisão,Não,Não,4.0,Moderada,1
RA-92,2022,5,6,-1,Ágata,6.957,9.2,7.1,5.0,,7.4,6.667,5.0,7.8,5.5,8.8,Feminino,16.0,2016,Rede Decisão,Não,Não,4.0,Moderada,1
RA-93,2022,5,5,0,Topázio,8.941,8.3,9.7,8.1,,8.5,9.083,10.0,8.8,8.3,8.4,Feminino,15.0,2016,Rede Decisão,Não,Sim,4.0,Em fase/Avancado,0
RA-94,2022,5,5,0,Topázio,8.921,8.3,9.6,8.1,,7.7,9.583,10.0,7.0,6.7,9.5,Feminino,15.0,2018,Rede Decisão,Não,Sim,4.0,Em fase/Avancado,0
RA-95,2022,5,7,-2,Ágata,6.308,8.3,6.6,7.5,,4.8,6.292,5.0,6.0,8.0,0.5,Feminino,17.0,2022,Escola Pública,Não,Não,4.0,Severa,1
